Category ID,OnBuy Category Path
9997,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilt Batting"
18229,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilt Binding"
9996,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilting Kits"
10031,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilting Needles"
9915,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilting Rulers"
10000,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilting Templates"
9999,"Arts, Crafts & Sewing > Needlecraft Supplies > Quilting Supplies > Quilting Tools"
10016,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Craft Spindles"
10021,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Felting Kits"
10024,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Felting Mats"
10022,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Felting Needles & Pens"
18230,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Felting Wool"
10020,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Needle Felting Machines"
10023,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Needle Felting Moulds"
10017,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Spinning & Felting Carders"
10015,"Arts, Crafts & Sewing > Needlecraft Supplies > Spinning & Felting Supplies > Spinning Wheels"
10012,"Arts, Crafts & Sewing > Needlecraft Supplies > Weaving Supplies > Weaving Loom Accessories"
10011,"Arts, Crafts & Sewing > Needlecraft Supplies > Weaving Supplies > Weaving Looms"
10013,"Arts, Crafts & Sewing > Needlecraft Supplies > Weaving Supplies > Wool Winders"
10069,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Embroidery Thread"
10070,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Overlocker Thread"
10071,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Quilting Thread"
10068,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Sewing Thread"
11749,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Wool"
10072,"Arts, Crafts & Sewing > Needlecraft Supplies > Yarn & Thread > Yarn"
8723,"Arts, Crafts & Sewing > Other Crafts > 3D Printing > 3D Printer Filament"
10483,"Arts, Crafts & Sewing > Other Crafts > 3D Printing > 3D Printers"
18215,"Arts, Crafts & Sewing > Other Crafts > 3D Printing > 3D Printing Pens"
34248,"Arts, Crafts & Sewing > Other Crafts > Basket Weaving > Basket Making Kits"
34249,"Arts, Crafts & Sewing > Other Crafts > Basket Weaving > Basket Weaving Reed"
